count_location,ROAD_CLASS,TRAFFCTL,num_of_collisions,total_traffic,average_int_width,years,r
LUMSDEN AVE AT OAK PARK AVE,Minor Arterial,Stop Sign,3,5654.0,0.015,11,0.8810258312368591
DANFORTH AVE AT DONLANDS AVE (PX 347),Major Arterial,No Control,2,13112.0,0.015,11,0.25327028929292256
UNIVERSITY AVE AT WELLINGTON ST (PX 76),Major Arterial,No Control,18,17896.333333333332,0.015,11,1.6700583154209918
HOLLAND PARK AVE AT OAKWOOD AVE,Minor Arterial,Stop Sign,2,9205.0,0.015,11,0.3607691508102988
BASTION ST AT FLEET ST AND LAKE SHORE BLVD W (PX 299),Major Arterial,Traffic Signal,2,20860.0,0.015,11,0.1591984675555513
LAWRENCE AVE E AT MILDENHALL RD (PX 1949),Major Arterial,No Control,4,13954.0,0.015,11,0.47597535233034266
COLLEGE ST AT HAVELOCK ST,Major Arterial,Stop Sign,3,9020.0,0.015,11,0.5522527771411531
YONGE ST AT CHAPLIN CRES & DAVISVILLE AVE (PX 47),Major Arterial,No Control,8,20911.5,0.015,11,0.6352255999251705
BATHURST ST AT HARBORD ST (PX 303),Major Arterial,No Control,11,18910.18181818182,0.015,11,0.9658733246597909
SHEPPARD AVE AT YONGE ST (PX 125),Major Arterial,Traffic Signal,9,38538.11111111111,0.015,11,0.387770954999687
BATHURST ST AT STEELES AVE W,Major Arterial,No Control,13,37252.46153846154,0.015,11,0.5794441313246076
BLOOR ST W AT RUNNYMEDE RD,Major Arterial,No Control,11,12490.0,0.015,11,1.4623571002921059
FRONT ST AT YONGE ST,Major Arterial,No Control,12,13590.0,0.015,11,1.4661722000921855
CHARLES ST E AT YONGE ST,Major Arterial,Stop Sign,3,10401.0,0.015,11,0.47892703103674655
JANE ST AT WILSON AVE (PX 532),Major Arterial,Traffic Signal,17,28275.0,0.015,11,0.9983193733784193
BIRCHMOUNT RD AT BESWICK PARK CRT,Major Arterial,No Control,2,8915.0,0.015,11,0.37250477097126194
PARKVIEW AVE AT WILLOWDALE AVE,Minor Arterial,Stop Sign,7,5648.0,0.015,11,2.057910785451629
HUNTINGWOOD DR AT WARDEN AVE (PX 871),Major Arterial,No Control,19,21146.315789473683,0.015,11,1.491908123834408
CONSILIUM PL AT CORPORATE DR (PX 1501),Collector,Traffic Signal,7,9162.0,0.015,11,1.2686182183181405
STEELES AVE E AT HILLCROFT DR & STRAWBERRY HILLS DR,Collector,Stop Sign,6,12018.0,0.015,11,0.8289765434869696
DOVEHOUSE AVE AT KEELE ST (PX 1869),Major Arterial,Traffic Signal,4,14984.5,0.015,11,0.44324202118306255
CHISHOLM AVE AT DANFORTH AVE,Major Arterial,No Control,8,14059.0,0.015,11,0.9448410365484887
MARKHAM RD AT STEELES AVE E,Major Arterial,Traffic Signal,17,31397.058823529413,0.015,11,0.8990485523160124
